Error,Delta Error,LMS,RMS
-54.0,-54,1.0471777191915097,5.892138364779876
-17.0,37,4.747139389179696,4.195527346663116
-19.0,-2,2.454360233601679,4.278343825859508
-5.0,14,3.8592915849644607,4.19299043589503
-1.0,4,4.142694287818898,4.186927436845741
0.0,1,4.2131355454062716,4.186288338512458
1.0,1,4.21313554542085,4.041411529058661
1.0,0,4.186288338529754,4.186288338515067
2.0,1,4.213304284392183,4.041193296885451
2.0,0,4.186397113386096,4.186397113371375
3.0,1,4.213675154901212,4.040639360556455
3.0,0,4.186623900413451,4.186623900398646
4.0,1,4.214183340601663,4.039836687583713
3.0,-1,4.213675154901212,4.213675154901212
4.0,1,4.214183340601663,4.039836687583713
4.0,0,4.186927436848389,4.186927436833466
4.0,0,4.186927436848389,4.186927436833466
5.0,1,4.214825031642735,4.038764429363542
5.0,0,4.187300991707781,4.187300991692701
6.0,1,4.215598097144713,4.037397487549893
5.0,-1,4.214825031642735,4.214825031642735
6.0,1,4.215598097144713,4.037397487549893
6.0,0,4.187738555854517,4.1877385558392435
7.0,1,4.216502123118404,4.0357057482637755
6.0,-1,4.215598097144713,4.215598097144713
7.0,1,4.216502123118404,4.0357057482637755
7.0,0,4.188234739136012,4.188234739120503
7.0,0,4.188234739136012,4.188234739120503
8.0,1,4.217538513391948,4.033653095666773
7.0,-1,4.216502123118404,4.216502123118404
9.0,2,4.245721301958691,3.8921769544213896
7.0,-2,4.242571929364214,4.242571929364214
7.0,0,4.188234739136012,4.188234739120503
8.0,1,4.217538513391948,4.033653095666773
7.0,-1,4.216502123118404,4.216502123118404
8.0,1,4.217538513391948,4.033653095666773
7.0,-1,4.216502123118404,4.216502123118404
7.0,0,4.188234739136012,4.188234739120503
9.0,2,4.245721301958691,3.8921769544213896
6.0,-3,4.265778280176589,4.265778280176589
7.0,1,4.216502123118404,4.0357057482637755
7.0,0,4.188234739136012,4.188234739120503
7.0,0,4.188234739136012,4.188234739120503
7.0,0,4.188234739136012,4.188234739120503
8.0,1,4.217538513391948,4.033653095666773
7.0,-1,4.216502123118404,4.216502123118404
7.0,0,4.188234739136012,4.188234739120503
8.0,1,4.217538513391948,4.033653095666773
7.0,-1,4.216502123118404,4.216502123118404
8.0,1,4.217538513391948,4.033653095666773
7.0,-1,4.216502123118404,4.216502123118404
7.0,0,4.188234739136012,4.188234739120503
8.0,1,4.217538513391948,4.033653095666773
7.0,-1,4.216502123118404,4.216502123118404
7.0,0,4.188234739136012,4.188234739120503
8.0,1,4.217538513391948,4.033653095666773
7.0,-1,4.216502123118404,4.216502123118404
7.0,0,4.188234739136012,4.188234739120503
8.0,1,4.217538513391948,4.033653095666773
7.0,-1,4.216502123118404,4.216502123118404
7.0,0,4.188234739136012,4.188234739120503
8.0,1,4.217538513391948,4.033653095666773
6.0,-2,4.24130498844566,4.24130498844566
7.0,1,4.216502123118404,4.0357057482637755
6.0,-1,4.215598097144713,4.215598097144713
6.0,0,4.187738555854517,4.1877385558392435
7.0,1,4.216502123118404,4.0357057482637755
6.0,-1,4.215598097144713,4.215598097144713
6.0,0,4.187738555854517,4.1877385558392435
7.0,1,4.216502123118404,4.0357057482637755
6.0,-1,4.215598097144713,4.215598097144713
6.0,0,4.187738555854517,4.1877385558392435
6.0,0,4.187738555854517,4.1877385558392435
6.0,0,4.187738555854517,4.1877385558392435
7.0,1,4.216502123118404,4.0357057482637755
5.0,-2,4.24023309573126,4.24023309573126
6.0,1,4.215598097144713,4.037397487549893
5.0,-1,4.214825031642735,4.214825031642735
5.0,0,4.187300991707781,4.187300991692701
5.0,0,4.187300991707781,4.187300991692701
5.0,0,4.187300991707781,4.187300991692701
6.0,1,4.215598097144713,4.037397487549893
4.0,-2,4.239352394800098,4.239352394800098
5.0,1,4.214825031642735,4.038764429363542
4.0,-1,4.214183340601663,4.214183340601663
3.0,-1,4.213675154901212,4.213675154901212
4.0,1,4.214183340601663,4.039836687583713
3.0,-1,4.213675154901212,4.213675154901212
3.0,0,4.186623900413451,4.186623900398646
3.0,0,4.186623900413451,4.186623900398646
3.0,0,4.186623900413451,4.186623900398646
3.0,0,4.186623900413451,4.186623900398646
3.0,0,4.186623900413451,4.186623900398646
3.0,0,4.186623900413451,4.186623900398646
3.0,0,4.186623900413451,4.186623900398646
4.0,1,4.214183340601663,4.039836687583713
3.0,-1,4.213675154901212,4.213675154901212
3.0,0,4.186623900413451,4.186623900398646
3.0,0,4.186623900413451,4.186623900398646
3.0,0,4.186623900413451,4.186623900398646
3.0,0,4.186623900413451,4.186623900398646
3.0,0,4.186623900413451,4.186623900398646
3.0,0,4.186623900413451,4.186623900398646
3.0,0,4.186623900413451,4.186623900398646
3.0,0,4.186623900413451,4.186623900398646
3.0,0,4.186623900413451,4.186623900398646
3.0,0,4.186623900413451,4.186623900398646
4.0,1,4.214183340601663,4.039836687583713
2.0,-2,4.238162244348525,4.238162244348525
3.0,1,4.213675154901212,4.040639360556455
1.0,-2,4.213304284392183,4.238162244348525
2.0,1,4.213304284392183,4.041193296885451
0.0,-2,4.186397113371375,4.238162244348525
0.0,0,4.186288338515067,4.186288338515067
1.0,1,4.21313554542085,4.041411529058661
0.0,-1,4.186288338515067,4.21313554542085
-1.0,-1,4.041411529058661,4.21313554542085
1.0,2,4.238162244348525,4.041193296885451
0.0,-1,4.186288338515067,4.21313554542085
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
-1.0,-1,4.041411529058661,4.21313554542085
1.0,2,4.238162244348525,4.041193296885451
0.0,-1,4.186288338515067,4.21313554542085
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
1.0,1,4.21313554542085,4.041411529058661
-1.0,-2,4.041193296885451,4.238162244348525
0.0,1,4.2131355454062716,4.186288338512458
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
0.0,0,4.186288338515067,4.186288338515067
