Error,Delta Error,LMS,RMS
2,2,5.5367795230855705,4.6021010844139765
-5,-7,3.8330405822891,5.189346875982971
-5,0,3.727119696356032,5.218520356957332
5,10,5.117769262926166,3.7794125140144845
-4,-9,3.9595436269913584,5.228443882175154
5,9,5.145773853596941,3.80132642453574
-4,-9,3.9595436269913584,5.228443882175154
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-5,-9,3.80132642453574,5.145773853596941
5,10,5.117769262926166,3.7794125140144845
-4,-9,3.9595436269913584,5.228443882175154
4,8,5.251765894690549,3.982556545491692
-5,-9,3.80132642453574,5.145773853596941
5,10,5.117769262926166,3.7794125140144845
-4,-9,3.9595436269913584,5.228443882175154
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
-4,-8,3.982556545491692,5.25176589469055
4,8,5.251765894690549,3.982556545491692
